
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-06 13:55:09 .................................................................................... ~ 507.71ms
  2026-08-06 13:55:10 ...................................................................................... ~ 0.16ms
  2026-08-06 13:55:10 ...................................................................................... ~ 0.16ms
  2026-08-06 13:55:10 ...................................................................................... ~ 4.13ms
  2026-08-06 13:55:11 ...................................................................................... ~ 4.12ms
  2026-08-06 13:55:11 .................................................................................... ~ 517.12ms
  2026-08-06 13:55:12 ...................................................................................... ~ 2.37ms
  2026-08-06 13:55:12 .................................................................................... ~ 513.16ms
  2026-08-06 13:55:13 ...................................................................................... ~ 0.27ms
  2026-08-06 13:55:13 ...................................................................................... ~ 0.15ms
  2026-08-06 13:55:13 ...................................................................................... ~ 0.32ms
  2026-08-06 13:55:15 ...................................................................................... ~ 2.31ms
  2026-08-06 13:55:15 ...................................................................................... ~ 3.85ms
  2026-08-06 13:55:15 .................................................................................... ~ 512.44ms
  2026-08-06 13:55:15 .................................................................................... ~ 513.60ms
  2026-08-06 13:55:16 ...................................................................................... ~ 0.21ms
  2026-08-06 13:55:16 .................................................................................... ~ 517.56ms
  2026-08-06 13:55:16 .................................................................................... ~ 517.76ms
  2026-08-06 13:55:17 .................................................................................... ~ 507.64ms
  2026-08-06 13:55:27 ...................................................................................... ~ 2.29ms
  2026-08-06 13:55:27 ...................................................................................... ~ 3.47ms
  2026-08-06 13:55:28 .................................................................................... ~ 510.78ms
  2026-08-06 13:55:28 ...................................................................................... ~ 0.14ms
  2026-08-06 13:55:29 ...................................................................................... ~ 2.12ms
  2026-08-06 13:55:29 ...................................................................................... ~ 3.29ms
  2026-08-06 13:55:29 .................................................................................... ~ 517.76ms
  2026-08-06 13:55:29 .................................................................................... ~ 519.08ms
  2026-08-06 13:55:29 .................................................................................... ~ 520.77ms
  2026-08-06 13:55:29 .................................................................................... ~ 522.27ms
  2026-08-06 13:55:30 .................................................................................... ~ 503.86ms
  2026-08-06 13:55:30 .................................................................................... ~ 505.40ms
  2026-08-06 13:55:30 ...................................................................................... ~ 1.36ms
  2026-08-06 13:55:30 .................................................................................... ~ 509.73ms
  2026-08-06 13:55:30 .................................................................................... ~ 510.00ms
  2026-08-06 13:55:31 ...................................................................................... ~ 1.75ms
  2026-08-06 13:55:31 .................................................................................... ~ 512.69ms
  2026-08-06 13:55:31 .................................................................................... ~ 513.13ms
  2026-08-06 13:55:31 .................................................................................... ~ 514.55ms
  2026-08-06 13:55:31 .................................................................................... ~ 514.39ms
  2026-08-06 13:55:31 ...................................................................................... ~ 1.32ms
  2026-08-06 13:55:32 ...................................................................................... ~ 2.04ms
  2026-08-06 13:55:32 .......................................................................................... ~ 6s
  2026-08-06 13:55:39 .......................................................................................... ~ 4s
  2026-08-06 13:55:44 .......................................................................................... ~ 2s
  2026-08-06 13:55:46 ...................................................................................... ~ 0.38ms
  2026-08-06 13:55:46 .................................................................................... ~ 516.14ms
  2026-08-06 13:55:47 .................................................................................... ~ 513.61ms
  2026-08-06 13:56:13 ...................................................................................... ~ 0.48ms
  2026-08-06 13:56:13 .................................................................................... ~ 513.60ms
  2026-08-06 13:56:14 .................................................................................... ~ 506.61ms
  2026-08-06 13:56:14 ...................................................................................... ~ 0.17ms
  2026-08-06 13:56:14 .......................................................................................... ~ 8s
  2026-08-06 13:56:23 .................................................................................... ~ 509.59ms
  2026-08-06 13:56:24 .......................................................................................... ~ 1s
  2026-08-06 13:56:25 ...................................................................................... ~ 0.26ms
  2026-08-06 13:56:37 ...................................................................................... ~ 2.35ms
  2026-08-06 13:56:38 .................................................................................... ~ 516.17ms
  2026-08-06 13:56:38 .......................................................................................... ~ 5s
  2026-08-06 13:56:44 .................................................................................... ~ 511.60ms
  2026-08-06 13:56:44 ...................................................................................... ~ 0.24ms
  2026-08-06 13:56:45 .................................................................................... ~ 507.42ms
  2026-08-06 13:56:45 ...................................................................................... ~ 0.16ms
  2026-08-06 13:56:45 ...................................................................................... ~ 1.27ms
  2026-08-06 13:56:45 ...................................................................................... ~ 1.31ms
  2026-08-06 13:56:45 .................................................................................... ~ 508.27ms
  2026-08-06 13:56:45 .................................................................................... ~ 508.49ms
  2026-08-06 13:56:45 ...................................................................................... ~ 1.37ms
  2026-08-06 13:56:46 ...................................................................................... ~ 1.29ms
  2026-08-06 13:56:46 .................................................................................... ~ 508.11ms
  2026-08-06 13:56:46 .................................................................................... ~ 508.25ms
  2026-08-06 13:56:46 ...................................................................................... ~ 1.49ms
  2026-08-06 13:56:46 .................................................................................... ~ 507.46ms
  2026-08-06 13:56:46 .................................................................................... ~ 507.61ms
  2026-08-06 13:56:47 .................................................................................... ~ 508.35ms
  2026-08-06 13:56:47 .................................................................................... ~ 507.98ms
  2026-08-06 13:56:47 ...................................................................................... ~ 1.50ms
  2026-08-06 13:56:47 .................................................................................... ~ 509.77ms
  2026-08-06 13:56:47 .................................................................................... ~ 511.97ms
  2026-08-06 13:56:47 ...................................................................................... ~ 2.27ms
  2026-08-06 13:56:48 .................................................................................... ~ 505.66ms
  2026-08-06 13:56:48 .................................................................................... ~ 505.68ms
  2026-08-06 13:56:52 ...................................................................................... ~ 0.37ms
  2026-08-06 13:56:52 ...................................................................................... ~ 0.24ms
  2026-08-06 13:56:52 .......................................................................................... ~ 3s
  2026-08-06 13:56:55 .......................................................................................... ~ 4s
  2026-08-06 13:57:00 ...................................................................................... ~ 1m 54s
  2026-08-06 14:04:33 ...................................................................................... ~ 0.32ms
  2026-08-06 14:04:33 .......................................................................................... ~ 5s
  2026-08-06 14:04:38 ......................................................................................... ~ 44s
  2026-08-06 14:05:23 .................................................................................... ~ 510.17ms
  2026-08-06 14:05:23 ...................................................................................... ~ 0.22ms
  2026-08-06 14:05:23 ...................................................................................... ~ 0.28ms
  2026-08-06 14:05:23 ...................................................................................... ~ 1.66ms
  2026-08-06 14:05:23 .................................................................................... ~ 514.22ms
  2026-08-06 14:05:23 .................................................................................... ~ 515.43ms
  2026-08-06 14:05:23 .................................................................................... ~ 516.50ms
  2026-08-06 14:05:24 .................................................................................... ~ 516.50ms
  2026-08-06 14:05:24 .................................................................................... ~ 513.77ms
  2026-08-06 14:05:24 .................................................................................... ~ 514.33ms
  2026-08-06 14:05:24 ...................................................................................... ~ 2.26ms
  2026-08-06 14:05:25 .................................................................................... ~ 506.59ms
  2026-08-06 14:05:25 .................................................................................... ~ 506.46ms
  2026-08-06 14:05:25 ...................................................................................... ~ 1.34ms
  2026-08-06 14:05:25 .................................................................................... ~ 513.58ms
  2026-08-06 14:05:25 .................................................................................... ~ 513.77ms
  2026-08-06 14:05:26 ...................................................................................... ~ 1.79ms
  2026-08-06 14:05:26 .................................................................................... ~ 511.63ms
  2026-08-06 14:05:26 .................................................................................... ~ 512.00ms
  2026-08-06 14:05:26 ...................................................................................... ~ 1.54ms
  2026-08-06 14:05:26 .................................................................................... ~ 513.20ms
  2026-08-06 15:31:06 ...................................................................................... ~ 4.20ms
  2026-08-06 15:31:07 .................................................................................... ~ 501.24ms
  2026-08-06 15:31:08 ...................................................................................... ~ 0.51ms
  2026-08-06 15:31:08 ..................................................................................... ~ 20.74ms
  2026-08-06 15:31:08 ...................................................................................... ~ 1m 20s
